Chave (000185) encontrada na árvore. Tempo de busca: 0.000000121 segundos. Interações: 9
Chave (000718) encontrada na árvore. Tempo de busca: 0.000000100 segundos. Interações: 8
Chave (000023) encontrada na árvore. Tempo de busca: 0.000000110 segundos. Interações: 9
Chave (000876) encontrada na árvore. Tempo de busca: 0.000000100 segundos. Interações: 10
Chave (000272) encontrada na árvore. Tempo de busca: 0.000000120 segundos. Interações: 11
Chave (000904) encontrada na árvore. Tempo de busca: 0.000000100 segundos. Interações: 8
Chave (000499) encontrada na árvore. Tempo de busca: 0.000000130 segundos. Interações: 9
Chave (000348) encontrada na árvore. Tempo de busca: 0.000000120 segundos. Interações: 9
Chave (000197) encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 9
Chave (000346) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 9
Chave (000514) encontrada na árvore. Tempo de busca: 0.000000120 segundos. Interações: 9
Chave (000433) encontrada na árvore. Tempo de busca: 0.000000091 segundos. Interações: 7
Chave (000760) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 6
Chave (000836) encontrada na árvore. Tempo de busca: 0.000000080 segundos. Interações: 9
Chave (000694) encontrada na árvore. Tempo de busca: 0.000000130 segundos. Interações: 10
Chave (008370) não encontrada na árvore. Tempo de busca: 0.000000180 segundos. Interações: 10
Chave (001791) não encontrada na árvore. Tempo de busca: 0.000000081 segundos. Interações: 10
Chave (002298) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 10
Chave (008647) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (009589) não encontrada na árvore. Tempo de busca: 0.000000051 segundos. Interações: 10
Chave (003132) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 10
Chave (004257) não encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 10
Chave (008414) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (008053) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (007729) não encontrada na árvore. Tempo de busca: 0.000000041 segundos. Interações: 10
Chave (005396) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (002649) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (009963) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (009444) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (003399) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 10
