Chave (012260) encontrada na árvore. Tempo de busca: 0.000003185 segundos. Interações: 13
Chave (010693) encontrada na árvore. Tempo de busca: 0.000002134 segundos. Interações: 15
Chave (031574) encontrada na árvore. Tempo de busca: 0.000003156 segundos. Interações: 14
Chave (012471) encontrada na árvore. Tempo de busca: 0.000002825 segundos. Interações: 15
Chave (008108) encontrada na árvore. Tempo de busca: 0.000003196 segundos. Interações: 13
Chave (019195) encontrada na árvore. Tempo de busca: 0.000003577 segundos. Interações: 15
Chave (047522) encontrada na árvore. Tempo de busca: 0.000001413 segundos. Interações: 13
Chave (030028) encontrada na árvore. Tempo de busca: 0.000002935 segundos. Interações: 13
Chave (015559) encontrada na árvore. Tempo de busca: 0.000002304 segundos. Interações: 15
Chave (037582) encontrada na árvore. Tempo de busca: 0.000003216 segundos. Interações: 13
Chave (039919) encontrada na árvore. Tempo de busca: 0.000002204 segundos. Interações: 14
Chave (018975) encontrada na árvore. Tempo de busca: 0.000001122 segundos. Interações: 15
Chave (008817) encontrada na árvore. Tempo de busca: 0.000002715 segundos. Interações: 15
Chave (018131) encontrada na árvore. Tempo de busca: 0.000002404 segundos. Interações: 15
Chave (026199) encontrada na árvore. Tempo de busca: 0.000003006 segundos. Interações: 15
Chave (056831) não encontrada na árvore. Tempo de busca: 0.000000140 segundos. Interações: 16
Chave (063983) não encontrada na árvore. Tempo de busca: 0.000000080 segundos. Interações: 16
Chave (088876) não encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 16
Chave (094533) não encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 16
Chave (073313) não encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 16
Chave (093832) não encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 16
Chave (071331) não encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 16
Chave (090223) não encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 16
Chave (056855) não encontrada na árvore. Tempo de busca: 0.000000080 segundos. Interações: 16
Chave (064523) não encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 16
Chave (058835) não encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 16
Chave (099199) não encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 16
Chave (051857) não encontrada na árvore. Tempo de busca: 0.000000080 segundos. Interações: 16
Chave (090913) não encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 16
Chave (060333) não encontrada na árvore. Tempo de busca: 0.000000080 segundos. Interações: 16
