Chave (000082) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 4
Chave (000025) encontrada na árvore. Tempo de busca: 0.000000370 segundos. Interações: 6
Chave (000023) encontrada na árvore. Tempo de busca: 0.000000071 segundos. Interações: 6
Chave (000028) encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 4
Chave (000082) encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 4
Chave (000018) encontrada na árvore. Tempo de busca: 0.000000041 segundos. Interações: 5
Chave (000016) encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 2
Chave (000058) encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 5
Chave (000092) encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 4
Chave (000088) encontrada na árvore. Tempo de busca: 0.000000020 segundos. Interações: 2
Chave (000054) encontrada na árvore. Tempo de busca: 0.000000161 segundos. Interações: 5
Chave (000072) encontrada na árvore. Tempo de busca: 0.000000110 segundos. Interações: 2
Chave (000012) encontrada na árvore. Tempo de busca: 0.000000170 segundos. Interações: 4
Chave (000041) encontrada na árvore. Tempo de busca: 0.000000460 segundos. Interações: 6
Chave (000059) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 6
Chave (005913) não encontrada na árvore. Tempo de busca: 0.000000130 segundos. Interações: 7
Chave (003449) não encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 7
Chave (005688) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 7
Chave (005636) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 7
Chave (008555) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 7
Chave (006527) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 7
Chave (001537) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 7
Chave (007048) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 7
Chave (008859) não encontrada na árvore. Tempo de busca: 0.000000031 segundos. Interações: 7
Chave (008295) não encontrada na árvore. Tempo de busca: 0.000000041 segundos. Interações: 7
Chave (006938) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 7
Chave (009148) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 7
Chave (000358) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 7
Chave (003288) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 7
Chave (005049) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 7
