Chave (001758) encontrada na árvore. Tempo de busca: 0.000002775 segundos. Interações: 10
Chave (001117) encontrada na árvore. Tempo de busca: 0.000003156 segundos. Interações: 11
Chave (000346) encontrada na árvore. Tempo de busca: 0.000002795 segundos. Interações: 10
Chave (002029) encontrada na árvore. Tempo de busca: 0.000002034 segundos. Interações: 11
Chave (003534) encontrada na árvore. Tempo de busca: 0.000001353 segundos. Interações: 11
Chave (000272) encontrada na árvore. Tempo de busca: 0.000000160 segundos. Interações: 7
Chave (003286) encontrada na árvore. Tempo de busca: 0.000000622 segundos. Interações: 11
Chave (002945) encontrada na árvore. Tempo de busca: 0.000001342 segundos. Interações: 11
Chave (004478) encontrada na árvore. Tempo de busca: 0.000000461 segundos. Interações: 11
Chave (004496) encontrada na árvore. Tempo de busca: 0.000000100 segundos. Interações: 8
Chave (004008) encontrada na árvore. Tempo de busca: 0.000000331 segundos. Interações: 9
Chave (000145) encontrada na árvore. Tempo de busca: 0.000001403 segundos. Interações: 11
Chave (004691) encontrada na árvore. Tempo de busca: 0.000000191 segundos. Interações: 12
Chave (002029) encontrada na árvore. Tempo de busca: 0.000000140 segundos. Interações: 11
Chave (001661) encontrada na árvore. Tempo de busca: 0.000001313 segundos. Interações: 11
Chave (073614) não encontrada na árvore. Tempo de busca: 0.000000191 segundos. Interações: 13
Chave (030876) não encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 13
Chave (066092) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (097983) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (021423) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (032568) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (073850) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (042660) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (056048) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (015520) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (067434) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (044507) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (058262) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (045267) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 13
Chave (043735) não encontrada na árvore. Tempo de busca: 0.000000061 segundos. Interações: 13
