Chave: [000004443] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001042 segundos. INTERACOES: 21
Chave: [000006596] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000571 segundos. INTERACOES: 16
Chave: [000008053] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000941 segundos. INTERACOES: 21
Chave: [000002975] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001001 segundos. INTERACOES: 17
Chave: [000001956] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000351 segundos. INTERACOES: 14
Chave: [000002037] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000421 segundos. INTERACOES: 15
Chave: [000008088] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000802 segundos. INTERACOES: 24
Chave: [000006916] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000872 segundos. INTERACOES: 18
Chave: [000005298] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000190 segundos. INTERACOES: 13
Chave: [000009512] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000391 segundos. INTERACOES: 12
Chave: [000000702] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000932 segundos. INTERACOES: 18
Chave: [000000048] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000661 segundos. INTERACOES: 11
Chave: [000006283] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000210 segundos. INTERACOES: 16
Chave: [000002865] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000380 segundos. INTERACOES: 15
Chave: [000006518] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000500 segundos. INTERACOES: 15
Chave: [000032113] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000270 segundos. INTERACOES: 5
Chave: [000061758] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 5
Chave: [000073752] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 5
Chave: [000070708] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 5
Chave: [000035130] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 5
Chave: [000080492] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000061 segundos. INTERACOES: 5
Chave: [000092338] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 5
Chave: [000034225] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 5
Chave: [000053284] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 5
Chave: [000076952] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 5
Chave: [000090335] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 5
Chave: [000055765] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 5
Chave: [000080170] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 5
Chave: [000069268] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 5
Chave: [000056608] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 5
