Chave: [000000347] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000151 segundos. INTERACOES: 16
Chave: [000000041] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 12
Chave: [000000386] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 11
Chave: [000000392] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000180 segundos. INTERACOES: 16
Chave: [000000435] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 13
Chave: [000000445] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000121 segundos. INTERACOES: 12
Chave: [000000380] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 11
Chave: [000000492] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 13
Chave: [000000335] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000141 segundos. INTERACOES: 20
Chave: [000000170] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 5
Chave: [000000091] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000140 segundos. INTERACOES: 12
Chave: [000000386] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 11
Chave: [000000324] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000111 segundos. INTERACOES: 16
Chave: [000000480] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000081 segundos. INTERACOES: 12
Chave: [000000048] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 13
Chave: [000007680] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000140 segundos. INTERACOES: 4
Chave: [000006027] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000051 segundos. INTERACOES: 4
Chave: [000008839] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000000924] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000002016] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000007093] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000002582] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000006110] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 4
Chave: [000006643] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000009292] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000008361] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 4
Chave: [000006621] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000002923] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000007916] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 4
Chave: [000005914] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 4
