Chave: [000033821] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001163 segundos. INTERACOES: 33
Chave: [000016921] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000922 segundos. INTERACOES: 26
Chave: [000002865] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000591 segundos. INTERACOES: 24
Chave: [000014356] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000511 segundos. INTERACOES: 21
Chave: [000035168] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000721 segundos. INTERACOES: 22
Chave: [000015229] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000301 segundos. INTERACOES: 21
Chave: [000016396] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000651 segundos. INTERACOES: 26
Chave: [000031334] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000471 segundos. INTERACOES: 22
Chave: [000010936] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000140 segundos. INTERACOES: 7
Chave: [000029872] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000651 segundos. INTERACOES: 24
Chave: [000019504] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000661 segundos. INTERACOES: 25
Chave: [000030610] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000531 segundos. INTERACOES: 25
Chave: [000009157] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000300 segundos. INTERACOES: 19
Chave: [000016562] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000400 segundos. INTERACOES: 21
Chave: [000018761] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000471 segundos. INTERACOES: 23
Chave: [000663308] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000431 segundos. INTERACOES: 11
Chave: [000954951] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 11
Chave: [000561198] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 11
Chave: [000652029] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000051 segundos. INTERACOES: 11
Chave: [000743959] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 11
Chave: [000765429] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 11
Chave: [000705298] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 11
Chave: [000496583] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 11
Chave: [000491475] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000051 segundos. INTERACOES: 11
Chave: [000687992] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 11
Chave: [000544729] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 11
Chave: [000109512] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 11
Chave: [000720324] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 11
Chave: [000565078] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 11
Chave: [000788462] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 11
