Chave: [000004443] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000038231 segundos. INTERACOES: 4442
Chave: [000002975] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000013636 segundos. INTERACOES: 2974
Chave: [000001956] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000030688 segundos. INTERACOES: 1955
Chave: [000002037] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000008796 segundos. INTERACOES: 2036
Chave: [000000702] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000003356 segundos. INTERACOES: 701
Chave: [000000048] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000271 segundos. INTERACOES: 47
Chave: [000002865] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000013665 segundos. INTERACOES: 2864
Chave: [000004638] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000021640 segundos. INTERACOES: 4637
Chave: [000001627] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000007574 segundos. INTERACOES: 1626
Chave: [000001200] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000005139 segundos. INTERACOES: 1199
Chave: [000003377] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000015950 segundos. INTERACOES: 3376
Chave: [000001295] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000006352 segundos. INTERACOES: 1294
Chave: [000001771] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000008396 segundos. INTERACOES: 1770
Chave: [000000489] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002334 segundos. INTERACOES: 488
Chave: [000004689] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000021711 segundos. INTERACOES: 4688
Chave: [000063362] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000019747 segundos. INTERACOES: 5000
Chave: [000069520] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000019497 segundos. INTERACOES: 5000
Chave: [000093933] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000020939 segundos. INTERACOES: 5000
Chave: [000018666] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000019786 segundos. INTERACOES: 5000
Chave: [000066540] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000020819 segundos. INTERACOES: 5000
Chave: [000089391] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000021340 segundos. INTERACOES: 5000
Chave: [000096955] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000021510 segundos. INTERACOES: 5000
Chave: [000062596] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000022022 segundos. INTERACOES: 5000
Chave: [000021993] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000023474 segundos. INTERACOES: 5000
Chave: [000029097] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000023784 segundos. INTERACOES: 5000
Chave: [000032113] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000023685 segundos. INTERACOES: 5000
Chave: [000061758] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000023193 segundos. INTERACOES: 5000
Chave: [000073752] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000034144 segundos. INTERACOES: 5000
Chave: [000070708] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000024355 segundos. INTERACOES: 5000
Chave: [000035130] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000021860 segundos. INTERACOES: 5000
