Chave: [000001650] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000200 segundos. INTERACOES: 9
Chave: [000004443] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000191 segundos. INTERACOES: 14
Chave: [000002975] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 15
Chave: [000001956] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000381 segundos. INTERACOES: 13
Chave: [000002037] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000180 segundos. INTERACOES: 10
Chave: [000000702] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 21
Chave: [000000048] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000211 segundos. INTERACOES: 11
Chave: [000002865] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000380 segundos. INTERACOES: 17
Chave: [000004638] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000191 segundos. INTERACOES: 14
Chave: [000001627] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000391 segundos. INTERACOES: 15
Chave: [000001200] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000231 segundos. INTERACOES: 13
Chave: [000003377] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000170 segundos. INTERACOES: 11
Chave: [000001295] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000441 segundos. INTERACOES: 20
Chave: [000001771] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000250 segundos. INTERACOES: 12
Chave: [000000489] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000231 segundos. INTERACOES: 13
Chave: [000032190] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000341 segundos. INTERACOES: 8
Chave: [000092523] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 8
Chave: [000063601] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 8
Chave: [000021493] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 8
Chave: [000050380] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 8
Chave: [000046369] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 8
Chave: [000063362] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 8
Chave: [000069520] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 8
Chave: [000093933] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 8
Chave: [000018666] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 8
Chave: [000066540] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 8
Chave: [000089391] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 8
Chave: [000096955] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 8
Chave: [000062596] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 8
Chave: [000021993] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 8
