Chave: [000000731] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000200 segundos. INTERACOES: 10
Chave: [000000347] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000150 segundos. INTERACOES: 6
Chave: [000000041] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000240 segundos. INTERACOES: 14
Chave: [000000815] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 6
Chave: [000000855] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000150 segundos. INTERACOES: 12
Chave: [000000386] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 8
Chave: [000000661] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000180 segundos. INTERACOES: 14
Chave: [000000392] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000131 segundos. INTERACOES: 9
Chave: [000000435] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000161 segundos. INTERACOES: 10
Chave: [000000639] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000150 segundos. INTERACOES: 16
Chave: [000000820] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000120 segundos. INTERACOES: 8
Chave: [000000959] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000151 segundos. INTERACOES: 9
Chave: [000000445] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 6
Chave: [000000621] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000160 segundos. INTERACOES: 19
Chave: [000000380] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000170 segundos. INTERACOES: 10
Chave: [000006940] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000150 segundos. INTERACOES: 7
Chave: [000001507] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 7
Chave: [000002810] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 7
Chave: [000002348] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000007790] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000003096] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000051 segundos. INTERACOES: 7
Chave: [000003308] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000061 segundos. INTERACOES: 7
Chave: [000004407] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000002994] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000007904] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000009716] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000007874] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000006648] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000006275] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000003573] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 7
