Chave: [000000070] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 7
Chave: [000000041] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000120 segundos. INTERACOES: 11
Chave: [000000041] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 11
Chave: [000000091] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 5
Chave: [000000048] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 7
Chave: [000000064] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 5
Chave: [000000039] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 10
Chave: [000000054] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 6
Chave: [000000049] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 8
Chave: [000000017] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 4
Chave: [000000027] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 10
Chave: [000000038] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 7
Chave: [000000069] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 6
Chave: [000000050] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 4
Chave: [000000068] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 8
Chave: [000007386] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000150 segundos. INTERACOES: 10
Chave: [000001893] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 10
Chave: [000004542] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000000906] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000008534] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000009739] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 10
Chave: [000009514] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000002654] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 10
Chave: [000004975] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000007385] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000002574] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000001595] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000003541] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000007195] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000006138] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 10
