Chave: [000000347] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002675 segundos. INTERACOES: 346
Chave: [000000041] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000200 segundos. INTERACOES: 40
Chave: [000000386] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001643 segundos. INTERACOES: 385
Chave: [000000392] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001754 segundos. INTERACOES: 391
Chave: [000000435] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001863 segundos. INTERACOES: 434
Chave: [000000445] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001933 segundos. INTERACOES: 444
Chave: [000000380] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001583 segundos. INTERACOES: 379
Chave: [000000492] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002014 segundos. INTERACOES: 491
Chave: [000000335] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001392 segundos. INTERACOES: 334
Chave: [000000170] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000722 segundos. INTERACOES: 169
Chave: [000000091] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000391 segundos. INTERACOES: 90
Chave: [000000386] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001513 segundos. INTERACOES: 385
Chave: [000000324] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001352 segundos. INTERACOES: 323
Chave: [000000480] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002004 segundos. INTERACOES: 479
Chave: [000000048] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000230 segundos. INTERACOES: 47
Chave: [000006110] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000002274 segundos. INTERACOES: 500
Chave: [000006643] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000002345 segundos. INTERACOES: 500
Chave: [000009292] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003637 segundos. INTERACOES: 500
Chave: [000008361] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001864 segundos. INTERACOES: 500
Chave: [000006621] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001984 segundos. INTERACOES: 500
Chave: [000002923] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001923 segundos. INTERACOES: 500
Chave: [000007916] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001934 segundos. INTERACOES: 500
Chave: [000005914] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001954 segundos. INTERACOES: 500
Chave: [000005332] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001763 segundos. INTERACOES: 500
Chave: [000006940] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001944 segundos. INTERACOES: 500
Chave: [000001507] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001963 segundos. INTERACOES: 500
Chave: [000002810] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001974 segundos. INTERACOES: 500
Chave: [000002348] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000002023 segundos. INTERACOES: 500
Chave: [000007790] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001984 segundos. INTERACOES: 500
Chave: [000000731] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000001773 segundos. INTERACOES: 500
