Chave: [000016] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 16
Chave: [000069] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 69
Chave: [000001] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 1
Chave: [000033] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 33
Chave: [000038] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 38
Chave: [000007] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000052] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 52
Chave: [000092] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 92
Chave: [000029] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 29
Chave: [000007] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 7
Chave: [000010] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000040 segundos. INTERACOES: 10
Chave: [000025] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 25
Chave: [000070] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 70
Chave: [000082] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 82
Chave: [000070] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 70
Chave: [413599] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000241 segundos. INTERACOES: 100
Chave: [164815] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000141 segundos. INTERACOES: 100
Chave: [108004] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000111 segundos. INTERACOES: 100
Chave: [874274] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [427095] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [497896] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [179362] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [927256] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [619080] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 100
Chave: [777039] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [130610] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [668915] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [538095] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [724632] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [367818] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 100
