Chave: [015009] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000192149 segundos. INTERACOES: 15009
Chave: [038876] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000264453 segundos. INTERACOES: 38876
Chave: [045994] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000137506 segundos. INTERACOES: 45994
Chave: [032257] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000050013 segundos. INTERACOES: 32257
Chave: [007228] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000011672 segundos. INTERACOES: 7228
Chave: [028343] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000042590 segundos. INTERACOES: 28343
Chave: [040580] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000063208 segundos. INTERACOES: 40580
Chave: [030511] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000047568 segundos. INTERACOES: 30511
Chave: [039580] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000068287 segundos. INTERACOES: 39580
Chave: [031152] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000050544 segundos. INTERACOES: 31152
Chave: [025257] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000039434 segundos. INTERACOES: 25257
Chave: [019404] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000030537 segundos. INTERACOES: 19404
Chave: [025012] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000039103 segundos. INTERACOES: 25012
Chave: [032422] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000051066 segundos. INTERACOES: 32422
Chave: [048487] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000087764 segundos. INTERACOES: 48487
Chave: [050838] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000109514 segundos. INTERACOES: 50000
Chave: [087977] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000073967 segundos. INTERACOES: 50000
Chave: [093069] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000071122 segundos. INTERACOES: 50000
Chave: [099067] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000078646 segundos. INTERACOES: 50000
Chave: [098861] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000077866 segundos. INTERACOES: 50000
Chave: [078281] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000078907 segundos. INTERACOES: 50000
Chave: [061662] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000078707 segundos. INTERACOES: 50000
Chave: [050984] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000088916 segundos. INTERACOES: 50000
Chave: [069135] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000078396 segundos. INTERACOES: 50000
Chave: [091933] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000078476 segundos. INTERACOES: 50000
Chave: [098934] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000072114 segundos. INTERACOES: 50000
Chave: [060114] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000078556 segundos. INTERACOES: 50000
Chave: [067252] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000078436 segundos. INTERACOES: 50000
Chave: [059015] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000075722 segundos. INTERACOES: 50000
Chave: [053424] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000070151 segundos. INTERACOES: 50000
