Chave: [003612] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000011231 segundos. INTERACOES: 3612
Chave: [001010] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001713 segundos. INTERACOES: 1010
Chave: [002931] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000003296 segundos. INTERACOES: 2931
Chave: [004295] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000004809 segundos. INTERACOES: 4295
Chave: [001965] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002154 segundos. INTERACOES: 1965
Chave: [001613] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001443 segundos. INTERACOES: 1613
Chave: [004868] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005370 segundos. INTERACOES: 4868
Chave: [000003] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 3
Chave: [002300] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002605 segundos. INTERACOES: 2300
Chave: [002307] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002124 segundos. INTERACOES: 2307
Chave: [004300] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000004328 segundos. INTERACOES: 4300
Chave: [002037] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002264 segundos. INTERACOES: 2037
Chave: [003042] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002935 segundos. INTERACOES: 3042
Chave: [004716] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005300 segundos. INTERACOES: 4716
Chave: [000002] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 2
Chave: [005387] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000009127 segundos. INTERACOES: 5000
Chave: [005981] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000006191 segundos. INTERACOES: 5000
Chave: [008999] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005701 segundos. INTERACOES: 5000
Chave: [005990] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005611 segundos. INTERACOES: 5000
Chave: [007152] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005220 segundos. INTERACOES: 5000
Chave: [007922] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005039 segundos. INTERACOES: 5000
Chave: [008719] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005590 segundos. INTERACOES: 5000
Chave: [007544] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005541 segundos. INTERACOES: 5000
Chave: [008592] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005540 segundos. INTERACOES: 5000
Chave: [005936] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005269 segundos. INTERACOES: 5000
Chave: [006080] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005050 segundos. INTERACOES: 5000
Chave: [009864] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005450 segundos. INTERACOES: 5000
Chave: [007903] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005540 segundos. INTERACOES: 5000
Chave: [006212] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005610 segundos. INTERACOES: 5000
Chave: [008174] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005601 segundos. INTERACOES: 5000
