Chave: [000016] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 73
Chave: [000069] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 29
Chave: [000001] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 89
Chave: [000033] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 27
Chave: [000038] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 25
Chave: [000007] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 83
Chave: [000052] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000081 segundos. INTERACOES: 77
Chave: [000092] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 18
Chave: [000029] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 24
Chave: [000007] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 83
Chave: [000010] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000071 segundos. INTERACOES: 47
Chave: [000025] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 65
Chave: [000070] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 40
Chave: [000082] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 66
Chave: [000070] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 40
Chave: [184869] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000220 segundos. INTERACOES: 100
Chave: [384852] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000161 segundos. INTERACOES: 100
Chave: [144563] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [413599] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [164815] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [108004] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [874274] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [427095] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [497896] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [179362] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [927256] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [619080] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 100
Chave: [777039] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [130610] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [668915] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000111 segundos. INTERACOES: 100
