Chave: [001716] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012894 segundos. INTERACOES: 8596
Chave: [002539] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007063 segundos. INTERACOES: 5501
Chave: [007118] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000011912 segundos. INTERACOES: 9521
Chave: [006229] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005640 segundos. INTERACOES: 3370
Chave: [007228] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001342 segundos. INTERACOES: 589
Chave: [009923] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007574 segundos. INTERACOES: 4986
Chave: [008690] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000004979 segundos. INTERACOES: 2875
Chave: [006049] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012613 segundos. INTERACOES: 9669
Chave: [006528] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007674 segundos. INTERACOES: 5144
Chave: [008805] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000014818 segundos. INTERACOES: 9849
Chave: [005023] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000011241 segundos. INTERACOES: 7660
Chave: [003454] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000011161 segundos. INTERACOES: 7549
Chave: [006109] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000661 segundos. INTERACOES: 248
Chave: [008621] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000008616 segundos. INTERACOES: 5858
Chave: [007521] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000009327 segundos. INTERACOES: 6436
Chave: [046392] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000086251 segundos. INTERACOES: 10000
Chave: [087379] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000044213 segundos. INTERACOES: 10000
Chave: [034835] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000028844 segundos. INTERACOES: 10000
Chave: [071965] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000023864 segundos. INTERACOES: 10000
Chave: [022749] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000020588 segundos. INTERACOES: 10000
Chave: [060180] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000020228 segundos. INTERACOES: 10000
Chave: [030329] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000018996 segundos. INTERACOES: 10000
Chave: [093777] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000017933 segundos. INTERACOES: 10000
Chave: [071079] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000018454 segundos. INTERACOES: 10000
Chave: [099457] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000017333 segundos. INTERACOES: 10000
Chave: [093015] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000017402 segundos. INTERACOES: 10000
Chave: [087876] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000017051 segundos. INTERACOES: 10000
Chave: [038052] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000016911 segundos. INTERACOES: 10000
Chave: [063873] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000015910 segundos. INTERACOES: 10000
Chave: [024823] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000015880 segundos. INTERACOES: 10000
