Chave: [000491] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000250 segundos. INTERACOES: 252
Chave: [000105] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000421 segundos. INTERACOES: 463
Chave: [000075] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000271 segundos. INTERACOES: 303
Chave: [000440] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000290 segundos. INTERACOES: 310
Chave: [000341] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000320 segundos. INTERACOES: 356
Chave: [000189] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000031 segundos. INTERACOES: 6
Chave: [000022] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000320 segundos. INTERACOES: 347
Chave: [000465] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000190 segundos. INTERACOES: 199
Chave: [000356] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000341 segundos. INTERACOES: 381
Chave: [000186] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000370 segundos. INTERACOES: 418
Chave: [000151] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000301 segundos. INTERACOES: 327
Chave: [000272] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000311 segundos. INTERACOES: 338
Chave: [000397] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000381 segundos. INTERACOES: 435
Chave: [000281] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000361 segundos. INTERACOES: 395
Chave: [000331] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000231 segundos. INTERACOES: 248
Chave: [066904] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000003006 segundos. INTERACOES: 500
Chave: [022356] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000642 segundos. INTERACOES: 500
Chave: [030115] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 500
Chave: [093782] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 500
Chave: [025429] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 500
Chave: [087599] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 500
Chave: [007122] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 500
Chave: [027570] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000511 segundos. INTERACOES: 500
Chave: [096766] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 500
Chave: [016677] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000511 segundos. INTERACOES: 500
Chave: [016882] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000511 segundos. INTERACOES: 500
Chave: [027140] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000511 segundos. INTERACOES: 500
Chave: [063932] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 500
Chave: [084308] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000511 segundos. INTERACOES: 500
Chave: [052262] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 500
