Chave: [002922] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000391 segundos. INTERACOES: 338
Chave: [004173] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002164 segundos. INTERACOES: 2030
Chave: [000514] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000951 segundos. INTERACOES: 865
Chave: [001728] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001202 segundos. INTERACOES: 1126
Chave: [002400] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000003427 segundos. INTERACOES: 3215
Chave: [004642] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000004638 segundos. INTERACOES: 4341
Chave: [001613] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000992 segundos. INTERACOES: 931
Chave: [004357] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 443
Chave: [001707] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000003126 segundos. INTERACOES: 2952
Chave: [001732] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000003176 segundos. INTERACOES: 2997
Chave: [003895] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000004047 segundos. INTERACOES: 3867
Chave: [002880] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000832 segundos. INTERACOES: 745
Chave: [004664] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000270 segundos. INTERACOES: 224
Chave: [000547] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000061 segundos. INTERACOES: 30
Chave: [004512] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000008616 segundos. INTERACOES: 3348
Chave: [013135] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000032741 segundos. INTERACOES: 5000
Chave: [087255] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000010991 segundos. INTERACOES: 5000
Chave: [065208] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005991 segundos. INTERACOES: 5000
Chave: [034908] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005721 segundos. INTERACOES: 5000
Chave: [026012] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005641 segundos. INTERACOES: 5000
Chave: [037102] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005521 segundos. INTERACOES: 5000
Chave: [089594] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005400 segundos. INTERACOES: 5000
Chave: [027060] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005390 segundos. INTERACOES: 5000
Chave: [018400] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005420 segundos. INTERACOES: 5000
Chave: [062631] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005400 segundos. INTERACOES: 5000
Chave: [018270] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005370 segundos. INTERACOES: 5000
Chave: [060938] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005350 segundos. INTERACOES: 5000
Chave: [069201] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005350 segundos. INTERACOES: 5000
Chave: [045173] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005350 segundos. INTERACOES: 5000
Chave: [055740] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000005340 segundos. INTERACOES: 5000
