Chave: [000491] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000541 segundos. INTERACOES: 491
Chave: [000105] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 105
Chave: [000075] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 75
Chave: [000440] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000391 segundos. INTERACOES: 440
Chave: [000341] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000300 segundos. INTERACOES: 341
Chave: [000189] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000180 segundos. INTERACOES: 189
Chave: [000022] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 22
Chave: [000465] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000401 segundos. INTERACOES: 465
Chave: [000356] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000321 segundos. INTERACOES: 356
Chave: [000186] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000180 segundos. INTERACOES: 186
Chave: [000151] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000150 segundos. INTERACOES: 151
Chave: [000272] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000250 segundos. INTERACOES: 272
Chave: [000397] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000350 segundos. INTERACOES: 397
Chave: [000281] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000261 segundos. INTERACOES: 281
Chave: [000331] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000300 segundos. INTERACOES: 331
Chave: [027534] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002034 segundos. INTERACOES: 500
Chave: [048573] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000681 segundos. INTERACOES: 500
Chave: [086312] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000571 segundos. INTERACOES: 500
Chave: [068391] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [025297] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [032202] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 500
Chave: [007409] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [082353] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 500
Chave: [016224] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [066904] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [022356] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [030115] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [093782] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [025429] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000571 segundos. INTERACOES: 500
Chave: [087599] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
