Chave: [000303] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000341 segundos. INTERACOES: 303
Chave: [000354] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000390 segundos. INTERACOES: 354
Chave: [000944] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000982 segundos. INTERACOES: 944
Chave: [000032] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 32
Chave: [000534] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000501 segundos. INTERACOES: 534
Chave: [000359] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000341 segundos. INTERACOES: 359
Chave: [000893] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000811 segundos. INTERACOES: 893
Chave: [000003] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 3
Chave: [000002] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000020 segundos. INTERACOES: 2
Chave: [000697] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000641 segundos. INTERACOES: 697
Chave: [000272] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000261 segundos. INTERACOES: 272
Chave: [000180] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000191 segundos. INTERACOES: 180
Chave: [000329] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000310 segundos. INTERACOES: 329
Chave: [000777] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000711 segundos. INTERACOES: 777
Chave: [000479] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000451 segundos. INTERACOES: 479
Chave: [005341] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002454 segundos. INTERACOES: 1000
Chave: [007260] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001122 segundos. INTERACOES: 1000
Chave: [009921] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001072 segundos. INTERACOES: 1000
Chave: [005825] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001072 segundos. INTERACOES: 1000
Chave: [005302] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001072 segundos. INTERACOES: 1000
Chave: [007224] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001072 segundos. INTERACOES: 1000
Chave: [006147] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001072 segundos. INTERACOES: 1000
Chave: [003169] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001082 segundos. INTERACOES: 1000
Chave: [001208] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001062 segundos. INTERACOES: 1000
Chave: [008402] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001072 segundos. INTERACOES: 1000
Chave: [008847] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001062 segundos. INTERACOES: 1000
Chave: [006257] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001072 segundos. INTERACOES: 1000
Chave: [006450] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001072 segundos. INTERACOES: 1000
Chave: [008914] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001062 segundos. INTERACOES: 1000
Chave: [002001] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001082 segundos. INTERACOES: 1000
